ID_REGIAO,ID_UF,ID_MUNICIPIO,IN_PUBLICA,TX_RESP_Q01,IN_PRESENCA_LP,IN_PRESENCA_MT,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,NU_TIPO_NIVEL_INSE,PROFICIENCIA_TOTAL
3,32,6325267,1,Masculino,1,1,330.28,321.87,1,6,652.15
3,32,6325267,1,Masculino,1,1,329.83,356.35,1,3,686.1800000000001
3,32,6325267,1,Feminino,1,1,246.98,252.68,1,7,499.65999999999997
3,32,6325267,1,Feminino,1,1,247.21,235.22,1,5,482.43
3,32,6325267,1,Feminino,1,1,261.45,244.93,1,3,506.38
3,32,6325267,1,Masculino,1,1,360.7,291.19,1,4,651.89
3,32,6325267,1,Masculino,1,1,239.02,212.1,1,4,451.12
3,32,6325267,1,Feminino,1,1,329.48,348.75,1,8,678.23
3,32,6325267,1,Masculino,1,1,204.87,200.7,1,6,405.57
3,32,6325267,1,Masculino,1,1,264.23,303.91,1,5,568.1400000000001
3,32,6325267,1,Masculino,1,1,261.24,279.3,1,3,540.54
3,32,6325267,1,Feminino,1,1,262.09,302.19,1,4,564.28
3,32,6325267,1,Feminino,1,1,208.42,305.41,1,6,513.83
3,32,6325267,1,Masculino,1,1,286.81,296.55,1,7,583.36
3,32,6325267,1,Masculino,1,1,263.13,248.79,1,1,511.91999999999996
3,32,6325267,1,Masculino,1,1,222.12,232.68,1,3,454.8
3,32,6325267,1,Masculino,1,1,281.79,282.39,1,4,564.1800000000001
3,32,6325267,1,Masculino,1,1,360.4,351.1,1,4,711.5
3,32,6325267,1,Feminino,1,1,280.78,296.96,1,5,577.74
3,32,6325267,1,Masculino,1,1,276.82,277.03,1,5,553.8499999999999
3,32,6325267,1,Feminino,1,1,286.9,291.25,1,2,578.15
3,32,6325267,1,Feminino,1,1,220.47,299.72,1,4,520.19
3,32,6325267,1,Masculino,1,1,289.27,267.24,1,2,556.51
3,32,6325267,1,Masculino,1,1,262.03,274.04,1,2,536.0699999999999
3,32,6325267,1,Feminino,1,1,247.62,319.27,1,3,566.89
3,32,6325267,1,Feminino,1,1,270.55,226.8,1,3,497.35
3,32,6325267,1,Feminino,1,1,328.21,295.76,1,2,623.97
3,32,6325267,1,Masculino,1,1,218.35,250.29,1,5,468.64
3,32,6325267,1,Feminino,1,1,303.7,269.69,1,4,573.39
3,32,6325267,1,Feminino,1,1,229.98,254.98,1,3,484.96
3,32,6325267,1,Feminino,1,1,272.31,247.9,1,3,520.21
3,32,6325267,1,Feminino,1,1,212.32,290.3,1,2,502.62
3,32,6325267,1,Masculino,1,1,359.74,321.89,1,2,681.63
3,32,6325267,1,Masculino,1,1,257.0,278.14,1,5,535.14
3,32,6325267,1,Masculino,1,1,269.97,320.92,1,4,590.8900000000001
3,32,6325267,1,Feminino,1,1,292.77,260.31,1,6,553.0799999999999
3,32,6325268,1,Masculino,1,1,277.73,261.05,1,4,538.78
3,32,6325268,1,Masculino,1,1,308.62,358.1,1,4,666.72
3,32,6325268,1,Masculino,1,1,211.76,232.48,1,6,444.24
3,32,6325268,1,Masculino,1,1,209.72,274.06,1,6,483.78
3,32,6325268,1,Masculino,1,1,255.86,355.29,1,2,611.1500000000001
3,32,6325268,1,Feminino,1,1,243.9,244.63,1,4,488.53
3,32,6325268,1,Masculino,1,1,309.67,306.85,1,2,616.52
3,32,6325268,1,Feminino,1,1,254.86,245.3,1,3,500.16
3,32,6325268,1,Feminino,1,1,321.15,285.38,1,2,606.53
3,32,6325268,1,Feminino,1,1,265.61,250.28,1,5,515.89
3,32,6325268,1,Feminino,1,1,303.26,329.77,1,5,633.03
3,32,6325268,1,Masculino,1,1,258.59,296.69,1,5,555.28
3,32,6325268,1,Feminino,1,1,245.28,266.66,1,3,511.94000000000005
3,32,6325268,1,Masculino,1,1,306.25,265.4,1,4,571.65
3,32,6325268,1,Feminino,1,1,195.24,257.4,1,4,452.64
3,32,6325268,1,Feminino,1,1,338.27,278.31,1,3,616.5799999999999
3,32,6325268,1,Feminino,1,1,280.84,213.98,1,2,494.81999999999994
3,32,6325268,1,Feminino,1,1,255.49,247.69,1,2,503.18
3,32,6325268,1,Feminino,1,1,322.71,345.63,1,4,668.3399999999999
3,32,6325268,1,Feminino,1,1,297.68,239.8,1,2,537.48
3,32,6325268,1,Masculino,1,1,264.6,211.02,1,5,475.62
3,32,6325268,1,Feminino,1,1,384.63,334.14,1,6,718.77
3,32,6325268,1,Masculino,1,1,216.22,249.21,1,5,465.43
3,32,6325268,1,Masculino,1,1,179.01,229.94,1,7,408.95
3,32,6325268,1,Feminino,1,1,372.53,381.82,1,6,754.3499999999999
3,32,6325268,1,Feminino,1,1,206.43,254.77,1,6,461.20000000000005
3,32,6325268,1,Feminino,1,1,235.88,253.19,1,4,489.07
3,32,6325268,1,Feminino,1,1,336.61,242.7,1,4,579.31
3,32,6325268,1,Feminino,1,1,321.27,299.59,1,4,620.8599999999999
3,32,6325268,1,Feminino,1,1,237.71,227.35,1,3,465.06
3,32,6325268,1,Feminino,1,1,267.03,260.07,1,4,527.0999999999999
3,32,6325268,1,Feminino,1,1,280.19,282.33,1,3,562.52
3,32,6325268,1,Feminino,1,1,254.18,248.12,1,3,502.3
